"id","formula_masters_id","equipment_machine_id","equipment_machine_unit","tag_name","em_qty","topic_number","users_id","record_status","created_at","updated_at"
"137","MF2212009","MC002","-","","0","2","","1","2022-12-08 04:07:38","2022-12-08 04:07:38"
"138","MF2212009","MC001","-","","0","2","","1","2022-12-08 04:07:39","2022-12-08 04:07:39"
"139","MF2212009","MC003","-","","0","2","","1","2022-12-08 04:07:44","2022-12-08 04:07:44"
"140","MF2212009","MC004","-","","0","2","","1","2022-12-08 04:07:48","2022-12-08 04:07:48"
"141","MF2212009","LT002","-","","0","2","","1","2022-12-08 04:08:27","2022-12-08 04:08:27"
"142","MF2212009","LT001","-","","0","2","","1","2022-12-08 04:08:29","2022-12-08 04:08:29"
"143","MF2212009","MC009","-","","0","8","","1","2022-12-08 04:21:20","2022-12-08 04:21:20"
"144","MF2212009","MC008","-","","0","8","","1","2022-12-08 04:21:23","2022-12-08 04:21:23"
"145","MF2212009","MC007","-","","0","8","","1","2022-12-08 04:21:26","2022-12-08 04:21:26"
"146","MF2212009","MC005","-","","0","8","","1","2022-12-08 04:21:31","2022-12-08 04:21:31"
"147","MF2212009","MC006","-","","0","8","","1","2022-12-08 04:21:34","2022-12-08 04:21:34"
"148","MF2212010","MC001","-","","0","2","","1","2022-12-09 02:47:03","2022-12-09 02:47:03"
"149","MF2212010","MC002","-","","0","2","","1","2022-12-09 02:47:06","2022-12-09 02:47:06"
"150","MF2212010","LT002","-","","0","2","","1","2022-12-09 02:47:09","2022-12-09 02:47:09"
"151","MF2212010","MC004","-","","0","2","","1","2022-12-09 02:47:12","2022-12-09 02:47:12"
"152","MF2212010","EM001","-","","0","2","","1","2022-12-09 02:47:14","2022-12-09 02:47:14"
"153","MF2212010","MC005","-","","0","8","","1","2022-12-09 03:26:12","2022-12-09 03:26:12"
"154","MF2212010","MC006","-","","0","8","","1","2022-12-09 03:26:16","2022-12-09 03:26:16"
"155","MF2212010","MC007","-","","0","8","","1","2022-12-09 03:26:20","2022-12-09 03:26:20"
"156","MF2212010","MC008","-","","0","8","","1","2022-12-09 03:26:23","2022-12-09 03:26:23"
"157","MF2212010","MC009","-","","0","8","","1","2022-12-09 03:26:28","2022-12-09 03:26:28"
"158","MF2212011","MC001","-","","1","2","","1","2022-12-09 07:31:07","2022-12-09 07:32:00"
"159","MF2212011","MC002","-","","0","2","","1","2022-12-09 07:31:22","2022-12-09 07:31:22"
"160","MF2212011","MC003","-","","0","2","","1","2022-12-09 07:31:27","2022-12-09 07:31:27"
"161","MF2212011","MC004","-","","0","2","","1","2022-12-09 07:31:37","2022-12-09 07:31:37"
"162","MF2212011","EM001","-","","0","2","","1","2022-12-09 07:31:43","2022-12-09 07:31:43"
"163","MF2212012","EM001","-","","1","2","","1","2022-12-09 07:39:50","2022-12-09 07:40:27"
"164","MF2212012","LT002","-","","1","2","","1","2022-12-09 07:39:52","2022-12-09 07:40:28"
"165","MF2212012","LT001","-","","1","2","","1","2022-12-09 07:39:54","2022-12-09 07:40:29"
"166","MF2212012","MC001","-","","1","2","","1","2022-12-09 07:39:56","2022-12-09 07:40:30"
"167","MF2212012","MC002","-","","1","2","","1","2022-12-09 07:39:59","2022-12-09 07:40:31"
"168","MF2212012","MC004","-","","1","2","","1","2022-12-09 07:40:04","2022-12-09 07:40:33"
"169","MF2212012","MC003","-","","1","2","","1","2022-12-09 07:40:15","2022-12-09 07:40:34"
"170","MF2212012","MC009","-","","0","8","","1","2022-12-09 07:50:26","2022-12-09 07:50:26"
"171","MF2212012","MC005","-","","0","8","","1","2022-12-09 07:50:33","2022-12-09 07:50:33"
"172","MF2212012","MC006","-","","0","8","","1","2022-12-09 07:50:53","2022-12-09 07:50:53"
"173","MF2212012","MC007","-","","0","8","","1","2022-12-09 07:51:11","2022-12-09 07:51:11"
"174","MF2212012","MC008","-","","0","8","","1","2022-12-09 07:51:15","2022-12-09 07:51:15"
"176","MF2212013","MC001","-","","1","2","","1","2022-12-09 08:45:31","2022-12-09 09:17:37"
"177","MF2212013","MC002","-","","1","2","","1","2022-12-09 08:45:39","2022-12-09 09:17:37"
"178","MF2212013","MC003","-","","1","2","","1","2022-12-09 08:45:45","2022-12-09 09:17:38"
"179","MF2212013","MC004","-","","1","2","","1","2022-12-09 08:45:51","2022-12-09 09:17:39"
