"id","formula_masters_id","topic_number","topic_txt","users_id","created_at","updated_at"
"43","MF2212006","12","-","1","2022-12-06 10:06:25","2022-12-06 10:06:25"
"44","MF2212006","9","9.1 บรรจุเนื้อครีมลงกระปุกอะคริลิกสีชมพูอ่อน ปริมาณ 30 กรัม/กระปุก\n9.2 นำหัวปั๊มสุญญากาศ หมุนปิดกระปุกให้แน่นสนิท (หมุนปิดไปทางซ้ายมือ)\n9.3 นำฝาครอบ ครอบปิดกระปุก\n9.4 พับไส้ในกล่อง นำลงกล่องสีชมพู\n9.5 นำกระปุกอะคริลิกสีชมพูอ่อนบรรจุลงกล่อง โดยให้ด้านหน้ากระปุกหันไปทางเดียวกับด้านหน้ากล่อง\n9.6 ชริ้งค์ฟิล์มที่กล่อง ติดฉลากสคบ.ที่ว่างด้านข้างกล่อง\n9.7 บรรจุลงลังลูกค้า จำนวน 36 ชิ้น/ลัง","1","2022-12-06 10:25:58","2022-12-08 07:34:53"
"45","MF2212007","5","สวมถุงขนาดใหญ่คลุมก่อนเทเนื้อBulkลงในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-07 03:38:16","2022-12-07 03:38:16"
"46","MF2212007","12","- หลีกเลี่ยงการสัมผัสเนื้อ Bulk โดยตรง \n- ควรสวมถุงมือและแว่นนิรภัยทุกครั้ง","1","2022-12-07 03:39:29","2022-12-07 03:39:58"
"47","MF2212007","6","- ขวดสีขาวนม ขนาด 45 มล.\n- ฝาหมุนสีขาวนม\n- จุกใน","1","2022-12-07 03:55:51","2022-12-07 04:07:52"
"48","MF2212007","9","9.1 นำของเหลวใส บรรจุลงขวดขุ่นปริมาณ 45 กรัม/ขวด\n9.2 นำจุกในกดปิดปากขวดให้แน่นสนิท\n9.3 นำฝาหมุน (สีขาว) หมุนปิดขวดขุ่นให้สนิท\n9.4 ติดฉลาก (สีแดง) รอบขวดขุ่น\n9.5 นำถุงมือพลาสติก(พับแล้ว), โฟมขัดสี่เหลี่ยม (สีฟ้า),ชุดสำสี (10 แผ่น)\nบรรจุลงกล่อง (สีแดง) โดยให้อยู่ด้านขวามือของกล่อง\n9.6 นำขวดขุ่นบรรจุลงกล่อง (สีแดง) โดยให้ขวดขุ่นอยู่ด้านซ้ายมือของกล่อง\n9.7 ชริ้งค์ฟิล์มที่กล่อง โดยใช้เครื่องอุโมงค์ความร้อน\n9.8 บรรจุลงลังเปลือยใหญ่ ขนาด 28.5(ก)*42.2(ย)*31.5(ส)","19","2022-12-07 03:59:43","2023-06-27 04:57:03"
"49","MF2212007","11","จัดเก็บใน Shopping packaging หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-07 04:06:47","2022-12-07 04:06:47"
"50","MF2212008","5","จัดเก็บในถังแบ่ง Bulk ที่มีฝาปิด หลีกเลี่ยงแสงแดดและความร้อน","1","2022-12-07 04:55:13","2022-12-07 04:55:13"
"51","MF2212008","6","ขวดอคิลิก(สีชมพูอ่อน)","1","2022-12-07 04:55:19","2022-12-07 04:55:19"
"52","MF2212008","9","9.1	นำของเหลวสีขาว (ไม่มีสี ไม่มีกลิ่น) บรรจุลงขวดอคิลิก(สีชมพูอ่อน) ปริมาณ 30 กรัม/ขวด\n9.2	นำชุดหัวปั๊ม(สีเงิน) หมุนปิดกับขวดอคิลิก(สีชมพูอ่อน)ให้แน่นสนิท\n9.3	นำฝาครอบอคิลิก(สีชมพูอ่อน) กดครอบเข้ากับขวดอคิลิก(สีชมพูอ่อน)\n9.4	บรรจุลงกล่อง(สีชมพู)โดยให้หันด้านหน้าขวดไปทางเดียวกับด้านหน้ากล่อง\n9.5	ชริ้งค์ฟิล์มที่กล่อง โดยใช้เครื่องอุโมงค์ความร้อน\n9.6	หลังชริ้งค์ฟิล์มที่กล่องเสร็จ ให้ติดฉลาก สคบ.ที่ว่างด้านข้างกล่อง\n9.7	บรรจุลงลังลูกค้า จำนวน 36 ชิ้น/ลัง","1","2022-12-07 04:56:24","2022-12-07 04:56:24"
